msa,overPriced-underSupplied,overPriced-overSupplied,underPriced-underSupplied,underPriced-overSupplied
Honolulu - HI,2,0,9,1
Dallas-Fort Worth - TX,5,7,0,0
Lincoln - NE,0,0,5,7
Cleveland - OH,4,0,8,0
Spokane - WA,5,1,5,1
Richmond - VA,1,5,1,5
Washington - DC,3,2,3,4
Baton Rouge - LA,1,0,5,6
Minneapolis - MN,0,2,1,9
Jacksonville - FL,4,4,4,0
New Haven - CT,0,1,4,7
Milwaukee - WI,0,0,4,8
Stockton - CA,8,1,3,0
Rochester - NY,0,0,4,8
Miami - FL,2,5,0,5
Orlando - FL,6,4,2,0
Ann Arbor - MI,6,4,1,1
Boston - MA,0,8,2,2
Columbia - SC,5,3,1,3
Ventura - CA,6,5,1,0
Phoenix - AZ,3,4,5,0
Providence - RI,1,9,2,0
San Diego - CA,7,5,0,0
Wichita - KS,0,0,7,5
Greenville - SC,4,7,1,0
Worcester - MA,5,4,0,3
Tucson - AZ,5,1,5,1
Portland - OR,4,8,0,0
Albuquerque - NM,4,1,5,2
Austin - TX,7,5,0,0
Columbus - OH,0,11,0,1
Durham - NC,6,6,0,0
Louisville - KY,0,4,2,6
Jackson - MS,0,0,9,3
Salt Lake City - UT,4,8,0,0
Atlanta - GA,7,2,2,1
Des Moines - IA,0,0,2,10
Los Angeles - CA,4,6,1,1
Chicago - IL,1,5,0,6
Knoxville - TN,3,1,4,4
Syracuse - NY,1,0,6,5
Saint Louis - MO,0,3,2,7
San Antonio - TX,3,4,4,1
East Bay - CA,7,2,2,1
Inland Empire - CA,8,1,3,0
Oklahoma City - OK,1,1,6,4
Birmingham - AL,0,0,8,4
Indianapolis - IN,2,1,4,5
Seattle - WA,1,11,0,0
Baltimore - MD,3,4,4,1
Palm Beach - FL,3,9,0,0
Lansing - MI,0,0,3,9
Lexington - KY,0,0,9,3
Detroit - MI,4,7,1,0
Springfield - MA,4,1,4,3
Winston-Salem - NC,3,3,3,3
Greensboro - NC,3,1,5,3
Tampa - FL,3,5,3,1
Denver - CO,2,10,0,0
Grand Rapids - MI,4,8,0,0
Akron - OH,2,2,7,1
Little Rock - AR,0,1,8,3
Houston - TX,2,3,6,1
San Jose - CA,2,7,2,1
Orange County - CA,8,3,1,0
Hartford - CT,1,0,6,5
Las Vegas - NV,6,0,6,0
Toledo - OH,1,0,10,1
Cincinnati - OH,0,3,4,5
Fort Lauderdale - FL,6,3,3,0
Nashville - TN,0,10,0,2
Reno - NV,2,6,3,1
Omaha - NE,0,0,4,8
Lehigh Valley - PA,0,6,4,2
Dayton - OH,5,3,2,2
Buffalo - NY,2,0,3,7
Kansas City - MO,0,8,1,3
Raleigh - NC,8,3,1,0
San Francisco - CA,4,5,3,0
Philadelphia - PA,0,6,0,6
Charleston - SC,3,8,0,1
Charlotte - NC,2,5,4,1
Madison - WI,0,2,2,8
New York - NY,0,7,4,1
Fargo - ND,0,2,3,7
Tulsa - OK,0,1,7,4
Memphis - TN,3,2,6,1
Norfolk - VA,2,1,7,2
Corpus Christi - TX,1,4,4,3
Long Island - NY,1,8,2,1
Colorado Springs - CO,8,4,0,0
El Paso - TX,0,0,8,4
Harrisburg - PA,1,0,2,9
Albany - NY,1,0,2,9
New Orleans - LA,3,1,8,0
Pittsburgh - PA,3,0,6,3
Northern New Jersey - NJ,0,0,3,9
Gainesville - FL,8,1,3,0
Fresno - CA,6,1,4,1
Sacramento - CA,6,2,4,0
